"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHCL","2022-07-29","410","413.9","404","406","-0.98","13211"
"CHCL","2022-07-28","410","418.2","404","410","1.99","34107"
"CHCL","2022-07-27","402","405","399","402","0.00","25388"
"CHCL","2022-07-26","414","415","399.2","402","-2.88","20342"
"CHCL","2022-07-25","406","418","405.1","413.9","0.95","18878"
"CHCL","2022-07-24","404","413.1","395","410","2.73","25760"
"CHCL","2022-07-22","402","402","396","399.1","-0.84","12630"
"CHCL","2022-07-21","401","405","399","402.5","-0.62","6245"
"CHCL","2022-07-20","407","408","399.9","405","0.97","11609"
"CHCL","2022-07-19","400.1","410","400.1","401.1","-0.72","15021"
"CHCL","2022-07-18","400","404","398.1","404","0.25","6154"
"CHCL","2022-07-17","408","412","400","403","-1.23","8381"
"CHCL","2022-07-15","400","410","400","408","0.27","6651"
"CHCL","2022-07-14","411","411","399","406.9","0.22","10610"
"CHCL","2022-07-13","399","409.5","395","406","3.28","19536"
"CHCL","2022-07-12","383","405.7","383","393.1","1.58","10654"
"CHCL","2022-07-11","400","400","383.2","387","-4.21","22174"
"CHCL","2022-07-08","410","410","396.2","404","-1.46","14290"
"CHCL","2022-07-07","423","423","405","410","-1.20","18200"
"CHCL","2022-07-06","410","418.2","397","415","1.99","29966"
"CHCL","2022-07-05","411","418.8","402.2","406.9","-2.86","29168"
"CHCL","2022-07-04","435","438.2","415.6","418.9","-2.58","48885"
"CHCL","2022-07-03","413","434","406.2","430","4.12","26466"
"CHCL","2022-07-01","418","420","400.2","413","-0.48","9098"
"CHCL","2022-06-30","402","416.6","397","415","5.06","40645"
"CHCL","2022-06-29","381.1","395","379.2","395","2.86","29289"
"CHCL","2022-06-28","379.1","387","375","384","1.32","31234"
"CHCL","2022-06-27","385","393","372.4","379","-0.52","28746"
"CHCL","2022-06-26","367.2","382","365","381","5.83","32130"
"CHCL","2022-06-24","355","362","347.9","360","0.28","28614"
"CHCL","2022-06-23","364","366.6","353","359","-1.64","25968"
"CHCL","2022-06-22","369","369","360","365","-0.57","11488"
"CHCL","2022-06-21","365","372","360","367.1","1.69","21032"
"CHCL","2022-06-20","369","370","359","361","-2.17","24050"
