"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"IGI","2022-07-29","422","422","408","415","0.24","16073"
"IGI","2022-07-28","400","422","400","414","1.47","52461"
"IGI","2022-07-27","396","408","390.1","408","1.49","25206"
"IGI","2022-07-26","415","430","400.5","402","-2.90","39284"
"IGI","2022-07-25","406.1","414","405","414","2.22","48871"
"IGI","2022-07-24","394","405","390","405","3.13","25382"
"IGI","2022-07-22","396","403","384.7","392.7","-0.83","28430"
"IGI","2022-07-21","388","406","385","396","1.54","33131"
"IGI","2022-07-20","387.9","397.6","380.2","390","0.54","26194"
"IGI","2022-07-19","379","391","375","387.9","3.47","34361"
"IGI","2022-07-18","366","377.4","364.2","374.9","1.05","14546"
"IGI","2022-07-17","362.6","373","362","371","0.27","18651"
"IGI","2022-07-15","380","380","361","370","-1.33","19847"
"IGI","2022-07-14","378","380","370","375","-0.79","23828"
"IGI","2022-07-13","360","378","359","378","5.29","36933"
"IGI","2022-07-12","347.9","373","347.9","359","1.13","21355"
"IGI","2022-07-11","380.2","380.2","352","355","-8.48","45857"
"IGI","2022-07-08","390","393","381","387.9","-2.29","13679"
"IGI","2022-07-07","408","410","390","397","-0.75","24737"
"IGI","2022-07-06","404","405","389","400","0.50","46392"
"IGI","2022-07-05","411","421","395","398","-3.16","78001"
"IGI","2022-07-04","410","436","397.1","411","2.24","80063"
"IGI","2022-07-03","385","402","377.3","402","4.42","51184"
"IGI","2022-07-01","385","408","375","385","-0.26","23837"
"IGI","2022-06-30","374","390.5","365","386","5.18","32176"
"IGI","2022-06-29","350","370","350","367","3.38","21627"
"IGI","2022-06-28","370","370","350.2","355","-4.05","12922"
"IGI","2022-06-27","382.5","382.5","362","370","-1.33","25880"
"IGI","2022-06-26","358","384","347","375","6.23","38233"
"IGI","2022-06-24","347","353","333.2","353","2.92","13592"
"IGI","2022-06-23","355","355","333.2","343","-4.72","24503"
"IGI","2022-06-22","375","375","356","360","-2.96","10664"
"IGI","2022-06-21","365","374","359.7","371","3.08","9998"
"IGI","2022-06-20","367","367","353.1","359.9","-3.77","20948"
"IGI","2022-06-19","390","390","370","374","-3.61","12752"
"IGI","2022-06-17","385","390","378","388","2.11","10492"
"IGI","2022-06-16","385","396","376","380","-0.78","11901"
"IGI","2022-06-15","390","395","378","383","-3.04","19474"
"IGI","2022-06-14","400","400","389","395","-2.92","22367"
"IGI","2022-06-13","397.1","406.9","395","406.9","0.72","15666"
"IGI","2022-06-10","402.1","408","397","404","-1.46","13389"
"IGI","2022-06-09","410","432","400","410","0.27","41469"
"IGI","2022-06-08","404","418","393","408.9","3.00","20225"
"IGI","2022-06-07","412","412","393.1","397","-5.48","49841"
"IGI","2022-06-06","414","420","401","420","0.24","18063"
"IGI","2022-06-03","433","433","415","419","-3.68","9122"
"IGI","2022-06-02","448.8","448.8","422","435","-1.14","14166"
"IGI","2022-06-01","449","449","426.3","440","-2.00","12622"
"IGI","2022-05-31","448.5","458","440","449","-1.75","7015"
"IGI","2022-05-30","465","469","455","457","-1.76","8434"
"IGI","2022-05-27","474","475","463","465.2","-1.02","4301"
"IGI","2022-05-26","473","475","468","470","-0.63","2340"
"IGI","2022-05-25","476","483","464","473","-0.21","9101"
"IGI","2022-05-24","467","481","467","474","0.45","9956"
"IGI","2022-05-23","481","481","463","471.9","-1.69","4993"
"IGI","2022-05-20","482","490.4","474","480","-1.64","6935"
"IGI","2022-05-19","493","496.8","479","488","0.18","9004"
"IGI","2022-05-18","506","506","487.1","487.1","-0.03","11443"
"IGI","2022-05-17","529.2","529.2","495.8","500","-7.41","21853"
"IGI","2022-05-12","555","563","530.1","540","-2.17","18865"
"IGI","2022-05-11","532","554.8","522","552","4.15","85832"
"IGI","2022-05-10","519","530","510","530","3.01","6696"
"IGI","2022-05-09","515","520","507","514.5","0.49","6214"
"IGI","2022-05-08","495","513.9","490","512","1.39","7717"
"IGI","2022-05-05","510","521.9","501","505","-2.88","6091"
"IGI","2022-05-04","530.1","538","520","520","-2.44","4353"
"IGI","2022-05-02","539.1","543.8","525","533","-2.02","13755"
"IGI","2022-04-28","545","556","532","544","1.13","96674"
"IGI","2022-04-27","540","540","529","537.9","-0.20","7632"
"IGI","2022-04-26","551","551","529.7","539","-0.35","5909"
"IGI","2022-04-25","540.1","554","521","540.9","0.20","14201"
"IGI","2022-04-24","520","545.7","520","539.8","3.81","18408"
"IGI","2022-04-21","532","535","507.1","520","-3.69","27904"
"IGI","2022-04-20","551","554.4","535","539.9","-1.53","6449"
"IGI","2022-04-19","547","560","537","548.3","-1.21","9731"
"IGI","2022-04-18","559","561.1","547","555","-2.63","8061"
"IGI","2022-04-17","577","578","560","570","-2.30","8792"
"IGI","2022-04-13","586","594","572","583.4","-0.27","9371"
"IGI","2022-04-12","585","595","582","585","-1.80","7180"
"IGI","2022-04-11","614.8","627","584.1","595.7","-1.18","18484"
"IGI","2022-04-07","646.9","660","635","645","1.57","27511"
"IGI","2022-04-06","628.2","647","617","635","-0.78","10118"
"IGI","2022-04-05","642","647","631","640","-2.14","11922"
"IGI","2022-04-04","650","660","647.1","654","-0.91","25613"
"IGI","2022-04-03","653.1","670","653.1","660","-0.90","12011"
"IGI","2022-03-31","684","685","665","666","-1.33","13454"
"IGI","2022-03-30","675","679.2","661.6","675","1.35","27762"
"IGI","2022-03-29","675","704","665.2","666","-1.62","9205"
"IGI","2022-03-28","691","696.9","677","677","-1.88","15534"
"IGI","2022-03-27","703","740","683.1","690","0.07","55120"
"IGI","2022-03-24","697.5","704","687","689.5","-0.36","16214"
"IGI","2022-03-23","703.9","703.9","685.2","692","0.20","5416"
"IGI","2022-03-22","712","712","690.6","690.6","-1.20","13854"
"IGI","2022-03-21","685.1","703","680","699","2.04","10912"
"IGI","2022-03-20","705","705","683","685","-1.58","12380"
"IGI","2022-03-16","713","713","691.1","696","-0.44","23548"
"IGI","2022-03-15","702","710","695","699.1","-0.13","19623"
"IGI","2022-03-14","710","710","690","700","0.14","11543"
