"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JFL","2022-07-29","485","527","482","498","2.68","29375"
"JFL","2022-07-28","477","505","460.6","485","3.70","53133"
"JFL","2022-07-27","425","467.7","417","467.7","10.00","111791"
"JFL","2022-07-26","450","460","423.2","425.2","-4.00","46091"
"JFL","2022-07-25","410","444.9","410","442.9","9.09","54249"
"JFL","2022-07-24","387.6","406.9","381","406","6.84","19173"
"JFL","2022-07-22","391","391","378.3","380","-2.81","8167"
"JFL","2022-07-21","395","402","390","391","-2.25","9706"
"JFL","2022-07-20","380","408","380","400","3.36","23614"
"JFL","2022-07-19","375.2","390.9","375.2","387","3.20","16735"
"JFL","2022-07-18","365","380","363","375","1.90","9483"
"JFL","2022-07-17","365","380","365","368","-1.08","6865"
"JFL","2022-07-15","363","375","363","372","0.54","6495"
"JFL","2022-07-14","369","375.5","360","370","1.45","9731"
"JFL","2022-07-13","345.7","365","345.7","364.7","7.58","7537"
"JFL","2022-07-12","347.9","354","335","339","-0.62","10877"
"JFL","2022-07-11","357.7","357.7","340","341.1","-6.55","10472"
"JFL","2022-07-08","372.5","378","364.1","365","-3.95","4222"
"JFL","2022-07-07","378","390","370.1","380","1.88","11431"
"JFL","2022-07-06","365","383","357.7","373","0.81","14097"
"JFL","2022-07-05","377","390","364","370","-3.39","24516"
"JFL","2022-07-04","394","405","365","383","-1.03","33018"
"JFL","2022-07-03","368.5","396","363","387","2.93","11142"
"JFL","2022-07-01","378.7","382","365","376","1.21","10480"
"JFL","2022-06-30","349.8","375","347","371.5","8.31","15767"
"JFL","2022-06-29","335","344","333","343","2.39","7147"
"JFL","2022-06-28","334.2","343","329.3","335","-1.76","4946"
"JFL","2022-06-27","354","360","336.2","341","-1.81","8746"
"JFL","2022-06-26","332","350","332","347.3","6.53","12685"
"JFL","2022-06-24","319","335.9","305","326","0.22","7144"
"JFL","2022-06-23","340","340","319","325.3","-5.98","7898"
"JFL","2022-06-22","346","354","340","346","-1.98","4708"
"JFL","2022-06-21","340","355.9","340","353","5.06","4390"
"JFL","2022-06-20","337","338","330","336","-2.04","3444"
"JFL","2022-06-19","351","353","343","343","-2.00","6599"
"JFL","2022-06-17","364.1","371.3","350","350","-1.96","2949"
"JFL","2022-06-16","348","378","348","357","0.56","5005"
"JFL","2022-06-15","358","372.3","352","355","-2.74","5940"
"JFL","2022-06-14","377.9","377.9","363.7","365","-1.62","3111"
"JFL","2022-06-13","370","377","370","371","-1.17","1378"
"JFL","2022-06-10","378","382","375.3","375.4","-2.49","2952"
"JFL","2022-06-09","392","399.8","379","385","-1.79","7106"
"JFL","2022-06-08","382.5","397","375.1","392","4.53","6035"
"JFL","2022-06-07","381","386","375","375","-2.09","6071"
"JFL","2022-06-06","382.1","389","382.1","383","0.79","6039"
"JFL","2022-06-03","391","391","379","380","-1.04","7222"
"JFL","2022-06-02","392","392","380","384","-1.29","6558"
"JFL","2022-06-01","390.6","398.4","384.1","389","1.57","2815"
"JFL","2022-05-31","387","400","381","383","-1.03","5595"
"JFL","2022-05-30","402.9","405","383","387","-2.03","1910"
"JFL","2022-05-27","393.1","400","385","395","-1.00","6945"
"JFL","2022-05-26","404.8","405","399","399","0.00","3408"
"JFL","2022-05-25","404.8","410","395","399","0.53","3634"
"JFL","2022-05-24","379","408","379","396.9","3.09","2756"
"JFL","2022-05-23","390","390.6","383","385","-2.04","5820"
"JFL","2022-05-20","399.8","400","390","393","0.26","7075"
"JFL","2022-05-19","413.9","413.9","391.1","392","-3.69","4496"
"JFL","2022-05-18","389","419","381.3","407","0.03","4883"
"JFL","2022-05-17","418.6","423","395","395","-7.49","12348"
"JFL","2022-05-12","431","446","419","427","-0.93","14646"
"JFL","2022-05-11","410","433","408","431","5.12","8095"
"JFL","2022-05-10","395","411","395","410","3.74","6722"
"JFL","2022-05-09","388","414","388","395.2","2.12","11689"
"JFL","2022-05-08","372","393","365.1","387","4.88","5544"
"JFL","2022-05-05","379","385","363","369","-4.16","10058"
"JFL","2022-05-04","396","402","385","385","-2.78","4668"
"JFL","2022-05-02","403.9","405","394","396","-3.91","6551"
"JFL","2022-04-28","422","434","412.1","412.1","-3.49","6573"
"JFL","2022-04-27","408","432","408","427","2.64","6007"
"JFL","2022-04-26","425.3","425.3","412","416","-0.24","7972"
"JFL","2022-04-25","422.9","436.5","410","417","0.55","19097"
"JFL","2022-04-24","384.5","414.7","382","414.7","10.00","11106"
"JFL","2022-04-21","372","383.9","365","377","-0.53","10503"
"JFL","2022-04-20","408","408","376","379","-5.25","11392"
"JFL","2022-04-19","404","412","396","400","-0.99","4975"
"JFL","2022-04-18","419","422","404","404","-3.58","6199"
"JFL","2022-04-17","438","442.6","417","419","-4.12","9459"
"JFL","2022-04-13","426","442","418","437","1.39","6840"
"JFL","2022-04-12","441","441","430","431","-3.36","10318"
"JFL","2022-04-11","467.2","476.5","430","446","-3.04","18522"
"JFL","2022-04-07","456","470.9","451.1","460","0.88","15229"
"JFL","2022-04-06","455.8","465","446.6","456","-1.94","5650"
"JFL","2022-04-05","460","474","450","465","-0.85","12027"
"JFL","2022-04-04","486.3","486.3","469","469","-1.64","4681"
"JFL","2022-04-03","465.1","477.3","465","476.8","0.59","9648"
"JFL","2022-03-31","490","498","470.1","474","-3.19","5213"
