"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICA","2022-07-29","712","715","706","707.9","-0.16","30305"
"NICA","2022-07-28","719.9","719.9","705.1","709","-0.28","75111"
"NICA","2022-07-27","709","714.9","701","711","0.28","54808"
"NICA","2022-07-26","731.1","731.1","708","709","-3.01","102412"
"NICA","2022-07-25","733","734.5","728","731","0.97","101736"
"NICA","2022-07-24","713","724.9","706","724","1.54","86801"
"NICA","2022-07-22","724","724.9","712","713","-1.25","47223"
"NICA","2022-07-21","730","735","719","722","0.84","155068"
"NICA","2022-07-20","710","720","709","716","0.42","64499"
"NICA","2022-07-19","709","718","704.1","713","1.42","96528"
"NICA","2022-07-18","703","704","695","703","0.00","48670"
"NICA","2022-07-17","709.9","709.9","691","703","1.01","64978"
"NICA","2022-07-15","694","704","688","696","0.29","44293"
"NICA","2022-07-14","670","697.8","667.1","694","2.06","448553"
"NICA","2022-07-13","657","680","657","680","3.50","124370"
"NICA","2022-07-12","648","660","646","657","1.39","53503"
"NICA","2022-07-11","662","662","640","648","-2.99","134434"
"NICA","2022-07-08","685","687","664.3","668","-2.48","45733"
"NICA","2022-07-07","702","710","680","685","-0.58","38738"
"NICA","2022-07-06","690","693","676.2","689","-0.14","42283"
"NICA","2022-07-05","704","713","690","690","-1.99","50002"
"NICA","2022-07-04","720","734","699","704","-1.95","140168"
"NICA","2022-07-03","690","718","680","718","4.07","99723"
"NICA","2022-07-01","701","705","687","689.9","-1.26","65273"
"NICA","2022-06-30","682","698.7","680","698.7","2.90","51903"
"NICA","2022-06-29","675","680","664","679","0.97","21950"
"NICA","2022-06-28","665.1","679","665.1","672.5","-0.81","15590"
"NICA","2022-06-27","691","693","676","678","-1.17","46048"
"NICA","2022-06-26","672","686","662","686","4.10","75516"
"NICA","2022-06-24","648","670","634","659","0.93","31888"
"NICA","2022-06-23","670","670","646.5","652.9","-2.55","63783"
"NICA","2022-06-22","685","685","669.5","670","-2.19","36984"
"NICA","2022-06-21","680","693.6","670.3","685","1.57","46893"
"NICA","2022-06-20","680","680","671.1","674.4","-1.11","64703"
"NICA","2022-06-19","699","699","680.2","682","-1.87","47112"
"NICA","2022-06-17","700","705","690","695","-0.34","32624"
"NICA","2022-06-16","704","707.9","690","697.4","-0.94","51244"
"NICA","2022-06-15","717.2","717.2","691.9","704","0.11","63277"
"NICA","2022-06-14","706","710","701","703.2","-0.89","33384"
"NICA","2022-06-13","716","716","705","709.5","-0.91","34498"
"NICA","2022-06-10","730.3","730.3","700","716","0.00","42734"
"NICA","2022-06-09","720","731.7","715","716","-0.97","43462"
"NICA","2022-06-08","700","732","700","723","1.99","58996"
"NICA","2022-06-07","728","729","700","708.9","-2.49","86403"
"NICA","2022-06-06","744","746","724","727","-1.62","92806"
"NICA","2022-06-03","745","757","728.1","739","-0.74","84842"
"NICA","2022-06-02","760","760","741","744.5","-2.03","87718"
"NICA","2022-06-01","750","763","748","759.9","0.96","42503"
"NICA","2022-05-31","770","770","748","752.7","-0.96","71623"
"NICA","2022-05-30","787.4","787.4","750","760","-1.55","53026"
"NICA","2022-05-27","785","785","770","772","-1.22","35663"
"NICA","2022-05-26","790.5","790.5","774","781.5","0.84","22046"
"NICA","2022-05-25","783","783","770","775","0.91","20264"
"NICA","2022-05-24","760","773","750","768","0.50","22335"
"NICA","2022-05-23","785","785","760","764.2","-2.03","38586"
"NICA","2022-05-20","780","785","776","780","-0.13","14791"
"NICA","2022-05-19","794","794","777","781","-0.64","29672"
"NICA","2022-05-18","780","789","771","786","0.01","27047"
"NICA","2022-05-17","808","814","775","775","-4.08","64901"
"NICA","2022-05-12","800","819","790.1","808","2.02","69720"
"NICA","2022-05-11","794","800","785","792","0.89","60355"
"NICA","2022-05-10","777","785","770","785","1.42","25257"
"NICA","2022-05-09","780.3","780.3","750","774","1.18","65468"
"NICA","2022-05-08","751","765","750","765","0.13","48636"
"NICA","2022-05-05","762","770","747.5","764","-0.97","89146"
"NICA","2022-05-04","770","773","765.1","771.5","-0.26","23016"
"NICA","2022-05-02","780","780","767","773.5","-1.09","33499"
"NICA","2022-04-28","780","790","779","782","0.03","44865"
"NICA","2022-04-27","773","781.8","770.1","781.8","-0.33","37180"
"NICA","2022-04-26","785","791","773","784.4","1.08","35741"
"NICA","2022-04-25","800","800","776","776","-2.51","68468"
"NICA","2022-04-24","780","800","765","796","4.05","62866"
"NICA","2022-04-21","770.1","770.1","740","765","1.32","55724"
"NICA","2022-04-20","775","775","750.8","755","-0.66","66139"
"NICA","2022-04-19","750","764.8","746","760","1.67","28688"
"NICA","2022-04-18","756","756","745","747.5","-0.47","32922"
"NICA","2022-04-17","772.1","772.1","746","751","-0.79","38725"
"NICA","2022-04-13","748","760","745","757","0.66","51266"
"NICA","2022-04-12","775","775","745","752","-1.44","44168"
"NICA","2022-04-11","765","774","740","763","-0.26","91552"
"NICA","2022-04-07","750","765","746","765","3.11","51777"
"NICA","2022-04-06","750","750","739","741.9","-1.24","52534"
"NICA","2022-04-05","777.2","777.2","748","751.2","-1.42","69542"
"NICA","2022-04-04","777.1","777.1","757","762","0.01","19152"
"NICA","2022-04-03","770","778","756.2","761.9","-0.27","18189"
"NICA","2022-03-31","772","772","755","764","-0.39","39695"
"NICA","2022-03-30","758","770","757","767","1.32","29760"
"NICA","2022-03-29","756","765","754","757","-0.38","40516"
"NICA","2022-03-28","761","765","755","759.9","-0.80","37146"
"NICA","2022-03-27","780","790","766","766","-1.79","67429"
"NICA","2022-03-24","780","790","769.3","780","-0.64","67523"
"NICA","2022-03-23","780","785","773","785","0.65","108697"
"NICA","2022-03-22","770","785","770","779.9","0.89","41446"
"NICA","2022-03-21","775","780","762","773","0.39","47286"
"NICA","2022-03-20","776","776","764","770","0.26","42001"
"NICA","2022-03-16","772","778","765","768","-0.52","46676"
"NICA","2022-03-15","780","781","770","772","-0.77","50282"
"NICA","2022-03-14","785","789","770","778","-0.51","29363"
"NICA","2022-03-13","769","790","758","782","3.17","93422"
"NICA","2022-03-10","760","762","747","758","-0.26","165638"
"NICA","2022-03-09","785","785","750","760","-1.81","138776"
"NICA","2022-03-07","770","774.9","747","774","0.78","138577"
"NICA","2022-03-06","777.2","785","755","768","0.79","36346"
"NICA","2022-03-02","770","775","760","762","-1.42","76482"
"NICA","2022-02-28","798","798","771","773","-1.28","55256"
"NICA","2022-02-27","790","800","777.7","783","-0.89","94586"
"NICA","2022-02-24","804","804","785","790","-1.74","62153"
"NICA","2022-02-23","810","810","801","804","-0.50","26347"
"NICA","2022-02-22","806","815","802","808","0.24","37501"
"NICA","2022-02-21","808","810","798","806.1","0.37","30102"
"NICA","2022-02-20","799.7","812","790","803.1","-1.58","58816"
"NICA","2022-02-17","805","816","804","816","1.12","55936"
"NICA","2022-02-16","806","815","803","807","0.25","43171"
"NICA","2022-02-15","805","810","802","805","0.00","45673"
"NICA","2022-02-14","811","814","798","805","-0.25","65371"
"NICA","2022-02-13","802","811","789","807","-1.34","180844"
"NICA","2022-02-10","830","839","814","818","-1.21","95660"
"NICA","2022-02-09","840","840","821","828","-1.08","87317"
"NICA","2022-02-08","855","872","826","837","0.00","86778"
"NICA","2022-02-07","853","858","839","843","-1.17","59770"
"NICA","2022-02-06","856","860","845","853","-0.86","72123"
"NICA","2022-02-03","870","877","860","860.4","-1.10","150826"
"NICA","2022-02-01","875","883","865","870","-0.23","58118"
"NICA","2022-01-31","890","890","870.1","872","-1.25","65157"
"NICA","2022-01-30","876.7","888","872","883","2.72","99204"
"NICA","2022-01-27","861","869.9","856","859.6","-0.05","56260"
"NICA","2022-01-26","868","873","856","860","-0.81","109049"
"NICA","2022-01-25","850","883","845.2","867","0.09","227148"
"NICA","2022-01-24","900","900","866","866.2","-4.08","419335"
"NICA","2022-01-23","935","935.3","899","903","-1.53","191997"
"NICA","2022-01-20","912","920","901.6","917","0.55","116652"
"NICA","2022-01-19","932.2","932.2","910","912","-0.22","145505"
"NICA","2022-01-18","900","927","899","914","1.78","207182"
"NICA","2022-01-17","918","918","893","898","-0.22","111345"
"NICA","2022-01-16","880.5","912","882","900","2.21","137916"
"NICA","2022-01-13","868","890","861","880.5","1.67","94487"
"NICA","2022-01-12","870","889.5","863","866","0.17","170915"
"NICA","2022-01-11","870","872","855","864.5","0.52","83864"
"NICA","2022-01-10","870","879","852","860","-0.82","160045"
"NICA","2022-01-09","854.7","871","850","867.1","3.47","162594"
