"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2022-07-29","811","812","795","798","-1.12","160640"
"SHIVM","2022-07-28","817","832","790.1","807","-1.10","193935"
"SHIVM","2022-07-27","800.1","822","785","816","0.62","222280"
"SHIVM","2022-07-26","830","840","805","811","-3.22","236195"
"SHIVM","2022-07-25","804.7","840","800","838","6.21","185041"
"SHIVM","2022-07-24","792","794","769.9","789","1.54","508496"
"SHIVM","2022-07-22","810","810","775","777","-3.82","267546"
"SHIVM","2022-07-21","827","829","799","807.9","-0.87","220002"
"SHIVM","2022-07-20","798","847","785.7","815","3.87","201375"
"SHIVM","2022-07-19","779","800","778","784.6","2.56","202235"
"SHIVM","2022-07-18","764","780","743.9","765","0.66","121799"
"SHIVM","2022-07-17","760","779","757.1","760","0.00","48949"
"SHIVM","2022-07-15","764","765","750","760","-0.65","52797"
"SHIVM","2022-07-14","775","790","752","765","-0.39","109195"
"SHIVM","2022-07-13","749","774","742","768","4.40","118637"
"SHIVM","2022-07-12","730","749","710","735.6","2.32","100900"
"SHIVM","2022-07-11","750","750","711.6","718.9","-4.15","89268"
"SHIVM","2022-07-08","800","800.7","750","750","-4.46","73107"
"SHIVM","2022-07-07","810","820","785","785","-1.26","77979"
"SHIVM","2022-07-06","783","811","761","795","1.53","98484"
"SHIVM","2022-07-05","826","834","778.4","783","-5.21","132174"
"SHIVM","2022-07-04","840","878","801","826","-0.48","208727"
"SHIVM","2022-07-03","768","830","753.2","830","8.07","88004"
"SHIVM","2022-07-01","779","794.5","755","768","-0.78","72059"
"SHIVM","2022-06-30","719","775.5","710","774","9.79","132607"
"SHIVM","2022-06-29","690","716","690","705","1.73","58570"
"SHIVM","2022-06-28","683","700","680","693","0.43","18124"
"SHIVM","2022-06-27","728","734","690","690","-3.77","46993"
"SHIVM","2022-06-26","701","729","700","717","4.06","75491"
"SHIVM","2022-06-24","660","698","658","689","2.53","23489"
"SHIVM","2022-06-23","668.5","679","654","672","-1.47","50193"
"SHIVM","2022-06-22","690","693","676","682","-1.02","18187"
"SHIVM","2022-06-21","680","700","670","689","3.14","42106"
"SHIVM","2022-06-20","678","686","660","668","-1.46","23624"
"SHIVM","2022-06-19","701","701","675","677.9","-2.04","16083"
"SHIVM","2022-06-17","700","709.8","690","692","-1.28","17783"
"SHIVM","2022-06-16","695","724","686","701","0.57","34469"
"SHIVM","2022-06-15","698","710","674.1","697","-0.14","42482"
"SHIVM","2022-06-14","713.2","730","684","698","-3.80","66776"
"SHIVM","2022-06-13","750","758","724","725.6","-2.86","30931"
"SHIVM","2022-06-10","760.1","774.5","744","747","-3.36","41421"
"SHIVM","2022-06-09","784","802.7","765","773","-0.77","34601"
"SHIVM","2022-06-08","760","786.5","735","779","4.01","43726"
"SHIVM","2022-06-07","795","795","741","749","-5.19","41936"
"SHIVM","2022-06-06","800","803","780.1","790","-0.25","33114"
"SHIVM","2022-06-03","796","803","780","792","-1.00","28909"
"SHIVM","2022-06-02","821","824.8","795","800","-0.62","26633"
"SHIVM","2022-06-01","830","830","801","805","-1.23","21956"
"SHIVM","2022-05-31","825.1","845","804.9","815","-1.81","28675"
"SHIVM","2022-05-30","860","880","830","830","-3.49","28746"
"SHIVM","2022-05-27","875","875","845.4","860","-0.57","15244"
"SHIVM","2022-05-26","860","873.9","853","864.9","0.45","14340"
"SHIVM","2022-05-25","878","878","860","861","-0.23","12699"
"SHIVM","2022-05-24","836","876","834","863","3.37","16623"
"SHIVM","2022-05-23","855","855","830","834.9","-2.35","27350"
"SHIVM","2022-05-20","858","869.7","851","855","-0.35","15615"
"SHIVM","2022-05-19","875","889","855","858","-2.94","31376"
"SHIVM","2022-05-18","870","895","857","884","-0.00","23006"
"SHIVM","2022-05-17","910","910","863","885","-3.28","41319"
"SHIVM","2022-05-12","887","935","870","915","5.17","122046"
"SHIVM","2022-05-11","859","885","840","870","1.28","78441"
"SHIVM","2022-05-10","850","870","850","859","1.06","36614"
"SHIVM","2022-05-09","855","867","850","850","0.24","45101"
"SHIVM","2022-05-08","846","860","838.5","848","-0.82","38752"
"SHIVM","2022-05-05","860","868","843","855","-0.58","41291"
"SHIVM","2022-05-04","870","879","850","860","-2.16","27476"
"SHIVM","2022-05-02","920","920","868","879","-3.93","48039"
"SHIVM","2022-04-28","950","950","909.5","915","-2.30","39571"
"SHIVM","2022-04-27","925","942","922","936.5","0.27","19401"
"SHIVM","2022-04-26","949","955.5","929","934","-0.32","21790"
"SHIVM","2022-04-25","963","978","930","937","-2.69","69506"
"SHIVM","2022-04-24","957","977","940","962.9","2.55","122609"
"SHIVM","2022-04-21","908","950","903.2","939","3.07","22686"
"SHIVM","2022-04-20","941","954.5","910","911","-4.00","26029"
"SHIVM","2022-04-19","934","960.2","919","949","1.17","18673"
"SHIVM","2022-04-18","961","972","920","938","-2.39","33886"
"SHIVM","2022-04-17","1009","1009","957.7","961","-2.93","34280"
"SHIVM","2022-04-13","1011","1011","980","990","-0.90","85058"
"SHIVM","2022-04-12","1028","1045","992","999","-2.73","38647"
"SHIVM","2022-04-11","1082","1103","1026","1027","-3.20","56103"
"SHIVM","2022-04-07","1065","1076","1057.3","1061","0.66","47470"
"SHIVM","2022-04-06","1035","1075","1031","1054","1.35","50336"
"SHIVM","2022-04-05","1050","1055","1028","1040","-0.95","46212"
"SHIVM","2022-04-04","1060","1070","1042.1","1050","0.00","27220"
"SHIVM","2022-04-03","1058","1059.9","1048","1050","-0.66","15639"
"SHIVM","2022-03-31","1085","1091","1055","1057","-2.13","36699"
"SHIVM","2022-03-30","1066","1083","1045","1080","3.15","58023"
"SHIVM","2022-03-29","1065","1083","1025","1047","-0.19","75614"
"SHIVM","2022-03-28","1080","1090","1049","1049","-2.05","46001"
"SHIVM","2022-03-27","1135","1137","1065","1071","-3.95","93099"
"SHIVM","2022-03-24","1153","1156","1110.2","1115","-3.21","57858"
"SHIVM","2022-03-23","1188.9","1188.9","1149","1152","-1.54","45443"
"SHIVM","2022-03-22","1165","1195","1165","1170","0.86","73166"
"SHIVM","2022-03-21","1165","1179","1145","1160","-0.43","75314"
"SHIVM","2022-03-20","1198","1198","1160","1165","-2.02","40183"
"SHIVM","2022-03-16","1200","1209","1180.1","1189","-0.92","34289"
"SHIVM","2022-03-15","1245","1246","1180","1200","-3.23","75639"
"SHIVM","2022-03-14","1276","1276","1228","1240","-0.88","36478"
"SHIVM","2022-03-13","1169","1254","1155","1251","8.78","289015"
